REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
District of Columbia,2017,5,X,X
Florida,2017,5,X,X
New York,2017,5,4288,27.82
Texas,2017,5,3425,22.51
New York City,2017,5,X,X
California,2017,6,1844,15.56
District of Columbia,2017,6,X,X
Florida,2017,6,X,X
New York,2017,6,4243,29.84
Texas,2017,6,4145,25.98
New York City,2017,6,X,X
California,2017,7,1797,11.35
District of Columbia,2017,7,X,X
Florida,2017,7,X,X
New York,2017,7,4146,23.95
Texas,2017,7,3884,25.8
New York City,2017,7,X,X
California,2017,8,1532,9.92
District of Columbia,2017,8,X,X
Florida,2017,8,X,X
New York,2017,8,3815,23.15
Texas,2017,8,3480,24.11
New York City,2017,8,X,X
California,2017,9,1428,7.14
District of Columbia,2017,9,X,X
Florida,2017,9,X,X
New York,2017,9,3146,15.29
Texas,2017,9,3197,21.68
New York City,2017,9,X,X
California,2017,10,1494,6.22
District of Columbia,2017,10,X,X
Florida,2017,10,X,X
New York,2017,10,2734,10.35
Texas,2017,10,3099,21.94
New York City,2017,10,X,X
California,2017,11,1408,7.46
District of Columbia,2017,11,X,X
Florida,2017,11,X,X
New York,2017,11,2408,12.29
Texas,2017,11,2635,18.52
New York City,2017,11,X,X
California,2017,12,1224,6.54
District of Columbia,2017,12,X,X
Florida,2017,12,X,X
New York,2017,12,2388,11.64
Texas,2017,12,2320,15.52
New York City,2017,12,X,X
California,2017,13,1118,5.64
District of Columbia,2017,13,X,X
Florida,2017,13,X,X
New York,2017,13,2524,13.99
Texas,2017,13,1935,11.63
New York City,2017,13,X,X
California,2017,14,1121,7.05
District of Columbia,2017,14,X,X
Florida,2017,14,X,X
New York,2017,14,2623,13.65
Texas,2017,14,1851,10.91
New York City,2017,14,X,X
California,2017,15,870,5.4
District of Columbia,2017,15,X,X
Florida,2017,15,X,X
New York,2017,15,2427,12.94
Texas,2017,15,1684,7.9
New York City,2017,15,X,X
California,2017,16,890,4.04
District of Columbia,2017,16,X,X
Florida,2017,16,X,X
New York,2017,16,2196,8.47
Texas,2017,16,1539,6.82
New York City,2017,16,X,X
California,2017,17,811,4.07
District of Columbia,2017,17,X,X
Florida,2017,17,X,X
New York,2017,17,1619,6.49
Texas,2017,17,1464,5.53
New York City,2017,17,X,X
California,2017,18,715,4.06
District of Columbia,2017,18,X,X
Florida,2017,18,X,X
New York,2017,18,1484,3.57
Texas,2017,18,1261,5.31
New York City,2017,18,X,X
California,2017,19,689,5.22
District of Columbia,2017,19,X,X
Florida,2017,19,X,X
New York,2017,19,1370,2.7
Texas,2017,19,1174,4.34
New York City,2017,19,X,X
California,2017,20,701,4.71
District of Columbia,2017,20,X,X
Florida,2017,20,X,X
New York,2017,20,1389,2.88
Texas,2017,20,1223,4.33
New York City,2017,20,X,X
California,2017,21,685,5.55
District of Columbia,2017,21,X,X
Florida,2017,21,X,X
New York,2017,21,1216,1.64
Texas,2017,21,1210,3.64
New York City,2017,21,X,X
California,2017,22,652,3.99
District of Columbia,2017,22,X,X
Florida,2017,22,X,X
New York,2017,22,1115,1.08
Texas,2017,22,1036,3.09
New York City,2017,22,X,X
California,2017,23,626,3.99
District of Columbia,2017,23,X,X
Florida,2017,23,X,X
New York,2017,23,1112,0.45
Texas,2017,23,1100,1.82
New York City,2017,23,X,X
California,2017,24,537,1.86
District of Columbia,2017,24,X,X
Florida,2017,24,X,X
New York,2017,24,1050,1.14
Texas,2017,24,903,1.11
New York City,2017,24,X,X
California,2017,25,511,2.54
District of Columbia,2017,25,X,X
Florida,2017,25,X,X
New York,2017,25,1005,1
Texas,2017,25,785,1.02
New York City,2017,25,X,X
California,2017,26,470,4.04
District of Columbia,2017,26,X,X
Florida,2017,26,X,X
New York,2017,26,912,0.55
Texas,2017,26,632,0.63
New York City,2017,26,X,X
California,2017,27,416,2.88
District of Columbia,2017,27,X,X
Florida,2017,27,X,X
New York,2017,27,745,0.4
Texas,2017,27,605,1.16
New York City,2017,27,X,X
California,2017,28,504,1.59
District of Columbia,2017,28,X,X
Florida,2017,28,X,X
New York,2017,28,816,0.61
Texas,2017,28,638,0.94
New York City,2017,28,X,X
California,2017,29,495,1.41
District of Columbia,2017,29,X,X
Florida,2017,29,X,X
New York,2017,29,758,0.4
Texas,2017,29,616,1.62
New York City,2017,29,X,X
California,2017,30,430,1.16
District of Columbia,2017,30,X,X
Florida,2017,30,X,X
New York,2017,30,750,0.67
Texas,2017,30,499,0.6
New York City,2017,30,X,X
California,2017,31,393,1.27
District of Columbia,2017,31,X,X
Florida,2017,31,X,X
New York,2017,31,738,0.54
Texas,2017,31,539,1.48
New York City,2017,31,X,X
California,2017,32,417,1.68
District of Columbia,2017,32,X,X
Florida,2017,32,X,X
New York,2017,32,769,0.26
Texas,2017,32,552,0.54
New York City,2017,32,X,X
California,2017,33,415,0.72
District of Columbia,2017,33,X,X
Florida,2017,33,X,X
New York,2017,33,815,0.12
Texas,2017,33,665,1.5
New York City,2017,33,X,X
California,2017,34,471,1.27
District of Columbia,2017,34,X,X
Florida,2017,34,X,X
New York,2017,34,790,0.63
Texas,2017,34,619,1.13
New York City,2017,34,X,X
California,2017,35,555,0.72
District of Columbia,2017,35,X,X
Florida,2017,35,X,X
New York,2017,35,778,0.39
Texas,2017,35,684,1.9
New York City,2017,35,X,X
California,2017,36,525,1.52
District of Columbia,2017,36,X,X
Florida,2017,36,X,X
New York,2017,36,886,0.45
Texas,2017,36,915,1.64
New York City,2017,36,X,X
California,2017,37,590,1.53
District of Columbia,2017,37,X,X
Florida,2017,37,X,X
New York,2017,37,1040,0.96
Texas,2017,37,1184,1.35
New York City,2017,37,X,X
California,2017,38,671,1.19
District of Columbia,2017,38,X,X
Florida,2017,38,X,X
New York,2017,38,1010,0.79
Texas,2017,38,1306,1.23
New York City,2017,38,X,X
California,2017,39,788,1.14
District of Columbia,2017,39,X,X
Florida,2017,39,X,X
New York,2017,39,1121,0.98
Texas,2017,39,1352,3.03
New York City,2017,39,X,X
California,2017,40,794,0.88
District of Columbia,2017,40,X,X
Florida,2017,40,X,X
New York,2017,40,1357,1.03
Texas,2017,40,1273,3.22
New York City,2017,40,X,X
California,2017,41,832,2.28
District of Columbia,2017,41,X,X
Florida,2017,41,X,X
New York,2017,41,1402,0.93
Texas,2017,41,1293,2.94
New York City,2017,41,X,X
California,2017,42,882,2.38
District of Columbia,2017,42,X,X
Florida,2017,42,X,X
New York,2017,42,1513,0.99
Texas,2017,42,1453,2.2
New York City,2017,42,X,X
California,2017,43,922,4.01
District of Columbia,2017,43,X,X
Florida,2017,43,X,X
New York,2017,43,1632,1.35
Texas,2017,43,1606,3.18
New York City,2017,43,X,X
California,2017,44,1016,6.59
District of Columbia,2017,44,X,X
Florida,2017,44,X,X
New York,2017,44,1654,1.27
Texas,2017,44,1898,5.85
New York City,2017,44,X,X
California,2017,45,1086,7.18
District of Columbia,2017,45,X,X
Florida,2017,45,X,X
New York,2017,45,1926,1.25
Texas,2017,45,2042,8.62
New York City,2017,45,X,X
California,2017,46,1159,8.54
District of Columbia,2017,46,X,X
Florida,2017,46,X,X
New York,2017,46,1968,1.32
Texas,2017,46,2419,9.22
New York City,2017,46,X,X
California,2017,47,1272,14.39
District of Columbia,2017,47,X,X
Florida,2017,47,X,X
New York,2017,47,1851,2.86
Texas,2017,47,2342,9.31
New York City,2017,47,X,X
California,2017,48,1439,14.8
District of Columbia,2017,48,X,X
Florida,2017,48,X,X
New York,2017,48,2282,3.29
Texas,2017,48,2714,10.69
New York City,2017,48,X,X
California,2017,49,1807,20.92
District of Columbia,2017,49,X,X
Florida,2017,49,X,X
New York,2017,49,2467,4.38
Texas,2017,49,2800,17.68
New York City,2017,49,X,X
California,2017,50,2336,28.85
District of Columbia,2017,50,X,X
Florida,2017,50,X,X
New York,2017,50,2562,6.91
Texas,2017,50,4050,26.35
New York City,2017,50,X,X
California,2017,51,3143,34.14
District of Columbia,2017,51,X,X
Florida,2017,51,X,X
New York,2017,51,2887,11.26
Texas,2017,51,6605,35.7
New York City,2017,51,X,X
California,2017,52,3339,38.78
District of Columbia,2017,52,X,X
Florida,2017,52,X,X
New York,2017,52,3378,15.81
Texas,2017,52,6409,34.47
New York City,2017,52,X,X
California,2018,1,3272,30.99
District of Columbia,2018,1,X,X
Florida,2018,1,X,X
New York,2018,1,3855,18.75
Texas,2018,1,6387,32.61
New York City,2018,1,X,X
California,2018,2,2893,22.09
District of Columbia,2018,2,X,X
Florida,2018,2,X,X
New York,2018,2,4566,22.12
Texas,2018,2,6731,33.32
New York City,2018,2,X,X
California,2018,3,2476,16.72
District of Columbia,2018,3,X,X
Florida,2018,3,X,X
New York,2018,3,4617,25.38
Texas,2018,3,6509,35.97
New York City,2018,3,X,X
California,2018,4,2427,16.6
District of Columbia,2018,4,X,X
Florida,2018,4,X,X
New York,2018,4,6354,30.5
Texas,2018,4,7320,37.13
New York City,2018,4,X,X
California,2018,5,2509,17.58
District of Columbia,2018,5,X,X
Florida,2018,5,X,X
New York,2018,5,7177,31.31
Texas,2018,5,7551,35.07
New York City,2018,5,X,X
California,2018,6,2778,17.46
District of Columbia,2018,6,X,X
Florida,2018,6,X,X
New York,2018,6,7517,32.81
Texas,2018,6,6962,32.48
New York City,2018,6,X,X
California,2018,7,2605,16.66
District of Columbia,2018,7,X,X
Florida,2018,7,X,X
New York,2018,7,7883,31.98
Texas,2018,7,6386,31.08
New York City,2018,7,X,X
California,2018,8,2137,13.76
District of Columbia,2018,8,X,X
Florida,2018,8,X,X
New York,2018,8,5760,27.29
Texas,2018,8,4739,22.92
New York City,2018,8,X,X
California,2018,9,2130,16.29
District of Columbia,2018,9,X,X
Florida,2018,9,X,X
New York,2018,9,4155,18.48
Texas,2018,9,3690,17.56
New York City,2018,9,X,X
California,2018,10,2041,16.36
District of Columbia,2018,10,X,X
Florida,2018,10,X,X
New York,2018,10,3448,13.57
Texas,2018,10,2800,9.93
New York City,2018,10,X,X
California,2018,11,1976,16.09
District of Columbia,2018,11,X,X
Florida,2018,11,X,X
New York,2018,11,3088,12.6
Texas,2018,11,2077,7.56
New York City,2018,11,X,X
California,2018,12,1632,10.23
District of Columbia,2018,12,X,X
Florida,2018,12,X,X
New York,2018,12,2861,12.58
Texas,2018,12,1741,6.61
New York City,2018,12,X,X
California,2018,13,1308,7.57
District of Columbia,2018,13,X,X
Florida,2018,13,X,X
New York,2018,13,2759,15.69
Texas,2018,13,1443,3.47
New York City,2018,13,X,X
California,2018,14,1084,7.38
District of Columbia,2018,14,X,X
Florida,2018,14,X,X
New York,2018,14,2165,15.43
Texas,2018,14,1246,3.45
New York City,2018,14,X,X
California,2018,15,855,4.91
District of Columbia,2018,15,X,X
Florida,2018,15,X,X
New York,2018,15,2032,10.43
Texas,2018,15,1219,2.79
New York City,2018,15,X,X
California,2018,16,568,3.35
District of Columbia,2018,16,X,X
Florida,2018,16,X,X
New York,2018,16,1916,9.24
Texas,2018,16,1132,1.86
New York City,2018,16,X,X
California,2018,17,689,3.92
District of Columbia,2018,17,X,X
Florida,2018,17,X,X
New York,2018,17,1728,8.33
Texas,2018,17,1000,1.9
New York City,2018,17,X,X
California,2018,18,621,1.77
District of Columbia,2018,18,X,X
Florida,2018,18,X,X
New York,2018,18,1609,5.16
Texas,2018,18,891,1.46
New York City,2018,18,X,X
California,2018,19,553,0.54
District of Columbia,2018,19,X,X
Florida,2018,19,X,X
New York,2018,19,1498,4.34
Texas,2018,19,777,1.29
New York City,2018,19,X,X
California,2018,20,519,1.35
District of Columbia,2018,20,X,X
Florida,2018,20,X,X
New York,2018,20,1360,2.57
Texas,2018,20,685,1.61
New York City,2018,20,X,X
California,2018,21,430,1.86
District of Columbia,2018,21,X,X
Florida,2018,21,X,X
New York,2018,21,1209,1.16
Texas,2018,21,653,0.46
New York City,2018,21,X,X
California,2018,22,407,0.49
District of Columbia,2018,22,X,X
Florida,2018,22,X,X
New York,2018,22,1166,0.94
Texas,2018,22,622,0.64
New York City,2018,22,X,X
California,2018,23,402,1.74
District of Columbia,2018,23,X,X
Florida,2018,23,X,X
New York,2018,23,1139,0.35
Texas,2018,23,591,0.85
New York City,2018,23,X,X
California,2018,24,350,0.29
District of Columbia,2018,24,X,X
Florida,2018,24,X,X
New York,2018,24,1070,0.09
Texas,2018,24,581,0.34
New York City,2018,24,X,X
California,2018,25,362,0.28
District of Columbia,2018,25,X,X
Florida,2018,25,X,X
New York,2018,25,997,0
Texas,2018,25,486,1.23
New York City,2018,25,X,X
California,2018,26,216,0.46
District of Columbia,2018,26,X,X
Florida,2018,26,X,X
New York,2018,26,859,0.12
Texas,2018,26,519,0.96
New York City,2018,26,X,X
California,2018,27,283,0.35
District of Columbia,2018,27,X,X
Florida,2018,27,X,X
New York,2018,27,812,0
Texas,2018,27,405,0.25
New York City,2018,27,X,X
California,2018,28,193,0.52
District of Columbia,2018,28,X,X
Florida,2018,28,X,X
New York,2018,28,879,0.34
Texas,2018,28,433,0
New York City,2018,28,X,X
California,2018,29,232,0
District of Columbia,2018,29,X,X
Florida,2018,29,X,X
New York,2018,29,857,0.23
Texas,2018,29,390,0.26
New York City,2018,29,X,X
California,2018,30,207,0.97
District of Columbia,2018,30,X,X
Florida,2018,30,X,X
New York,2018,30,818,0.24
Texas,2018,30,410,0.24
New York City,2018,30,X,X
California,2018,31,212,1.42
District of Columbia,2018,31,X,X
Florida,2018,31,X,X
New York,2018,31,755,0.13
Texas,2018,31,387,0.26
New York City,2018,31,X,X
California,2018,32,219,1.37
District of Columbia,2018,32,X,X
Florida,2018,32,X,X
New York,2018,32,851,0.12
Texas,2018,32,396,1.01
New York City,2018,32,X,X
California,2018,33,225,0.89
District of Columbia,2018,33,X,X
Florida,2018,33,X,X
New York,2018,33,803,0
Texas,2018,33,409,0.73
New York City,2018,33,X,X
California,2018,34,213,0
District of Columbia,2018,34,X,X
Florida,2018,34,X,X
New York,2018,34,860,0
Texas,2018,34,480,0.63
New York City,2018,34,X,X
California,2018,35,230,0
District of Columbia,2018,35,X,X
Florida,2018,35,X,X
New York,2018,35,807,0.12
Texas,2018,35,570,0.7
New York City,2018,35,X,X
California,2018,36,269,0.37
District of Columbia,2018,36,X,X
Florida,2018,36,X,X
New York,2018,36,810,0.37
Texas,2018,36,751,2.66
New York City,2018,36,X,X
California,2018,37,324,0.93
District of Columbia,2018,37,X,X
Florida,2018,37,X,X
New York,2018,37,1218,0
Texas,2018,37,965,0.93
New York City,2018,37,X,X
California,2018,38,285,0.35
District of Columbia,2018,38,X,X
Florida,2018,38,X,X
New York,2018,38,1170,0.43
Texas,2018,38,1104,1.63
New York City,2018,38,X,X
California,2018,39,355,1.13
District of Columbia,2018,39,X,X
Florida,2018,39,X,X
New York,2018,39,1452,0.48
Texas,2018,39,1107,0.72
New York City,2018,39,X,X
California,2018,40,409,0.73
District of Columbia,2018,40,X,X
Florida,2018,40,X,X
New York,2018,40,1454,0.48
Texas,2018,40,1223,1.64
New York City,2018,40,X,X
California,2018,41,410,1.22
District of Columbia,2018,41,X,X
Florida,2018,41,X,X
New York,2018,41,1999,0.4
Texas,2018,41,1303,2
New York City,2018,41,X,X
California,2018,42,457,1.53
District of Columbia,2018,42,X,X
Florida,2018,42,X,X
New York,2018,42,2068,0.34
Texas,2018,42,1485,1.82
New York City,2018,42,X,X
California,2018,43,431,0.7
District of Columbia,2018,43,X,X
Florida,2018,43,X,X
New York,2018,43,2152,0.42
Texas,2018,43,1633,1.41
New York City,2018,43,X,X
California,2018,44,549,2.19
District of Columbia,2018,44,X,X
Florida,2018,44,X,X
New York,2018,44,2043,0.44
Texas,2018,44,1821,2.25
New York City,2018,44,X,X
California,2018,45,601,2
District of Columbia,2018,45,X,X
Florida,2018,45,X,X
New York,2018,45,2106,0.76
Texas,2018,45,2014,1.59
New York City,2018,45,X,X
California,2018,46,612,2.12
District of Columbia,2018,46,X,X
Florida,2018,46,X,X
New York,2018,46,2029,1.18
Texas,2018,46,2136,1.87
New York City,2018,46,X,X
California,2018,47,647,5.56
District of Columbia,2018,47,X,X
Florida,2018,47,X,X
New York,2018,47,2056,1.65
Texas,2018,47,2351,3.91
New York City,2018,47,X,X
California,2018,48,846,7.57
District of Columbia,2018,48,X,X
Florida,2018,48,X,X
New York,2018,48,2442,2.7
Texas,2018,48,2703,3.11
New York City,2018,48,X,X
California,2018,49,958,14.61
District of Columbia,2018,49,X,X
Florida,2018,49,X,X
New York,2018,49,2572,2.8
Texas,2018,49,2505,5.47
New York City,2018,49,X,X
California,2018,50,1251,20.38
District of Columbia,2018,50,X,X
Florida,2018,50,X,X
New York,2018,50,2852,5.86
Texas,2018,50,3114,11.43
New York City,2018,50,X,X
California,2018,51,1244,18.25
District of Columbia,2018,51,X,X
Florida,2018,51,X,X
New York,2018,51,3169,8.52
Texas,2018,51,3709,19.63
New York City,2018,51,X,X
California,2018,52,1231,16.41
District of Columbia,2018,52,X,X
Florida,2018,52,X,X
New York,2018,52,3399,13.03
Texas,2018,52,3716,22.12
New York City,2018,52,X,X
California,2019,1,1196,11.62
District of Columbia,2019,1,X,X
Florida,2019,1,X,X
New York,2019,1,3852,13.4
Texas,2019,1,3432,15.36
New York City,2019,1,X,X
California,2019,2,1350,14.15
District of Columbia,2019,2,X,X
Florida,2019,2,X,X
New York,2019,2,3954,14.34
Texas,2019,2,3205,15.91
New York City,2019,2,X,X
California,2019,3,1174,15.33
District of Columbia,2019,3,X,X
Florida,2019,3,X,X
New York,2019,3,4010,17.98
Texas,2019,3,3401,23.73
New York City,2019,3,X,X
California,2019,4,1118,12.08
District of Columbia,2019,4,X,X
Florida,2019,4,X,X
New York,2019,4,3984,22.97
Texas,2019,4,4084,27.23
New York City,2019,4,X,X
California,2019,5,1270,13.7
District of Columbia,2019,5,X,X
Florida,2019,5,X,X
New York,2019,5,4162,22.08
Texas,2019,5,5795,33.86
New York City,2019,5,X,X
California,2019,6,1134,11.29
District of Columbia,2019,6,X,X
Florida,2019,6,X,X
New York,2019,6,4781,26.9
Texas,2019,6,6918,35.46
New York City,2019,6,X,X
California,2019,7,1145,13.97
District of Columbia,2019,7,X,X
Florida,2019,7,X,X
New York,2019,7,4901,27.28
Texas,2019,7,6211,31.96
New York City,2019,7,X,X
California,2019,8,1160,15.95
District of Columbia,2019,8,X,X
Florida,2019,8,X,X
New York,2019,8,4695,27.9
Texas,2019,8,5597,29.77
New York City,2019,8,X,X
California,2019,9,1181,17.95
District of Columbia,2019,9,X,X
Florida,2019,9,X,X
New York,2019,9,4189,21.32
Texas,2019,9,5363,28.31
New York City,2019,9,X,X
California,2019,10,1243,14.72
District of Columbia,2019,10,X,X
Florida,2019,10,X,X
New York,2019,10,4198,20.84
Texas,2019,10,5072,25.34
New York City,2019,10,X,X
California,2019,11,1224,12.5
District of Columbia,2019,11,X,X
Florida,2019,11,X,X
New York,2019,11,4142,22.53
Texas,2019,11,3963,21.83
New York City,2019,11,X,X
California,2019,12,1222,13.5
District of Columbia,2019,12,X,X
Florida,2019,12,X,X
New York,2019,12,4086,19.82
Texas,2019,12,3334,15.33
New York City,2019,12,X,X
California,2019,13,1090,10.37
District of Columbia,2019,13,X,X
Florida,2019,13,X,X
New York,2019,13,3912,18.99
Texas,2019,13,2751,13.38
New York City,2019,13,X,X
California,2019,14,973,9.76
District of Columbia,2019,14,X,X
Florida,2019,14,X,X
New York,2019,14,2718,11.59
Texas,2019,14,2422,9.21
New York City,2019,14,X,X
California,2019,15,823,4.98
District of Columbia,2019,15,X,X
Florida,2019,15,X,X
New York,2019,15,3417,14.52
Texas,2019,15,2018,10.36
New York City,2019,15,X,X
California,2019,16,747,5.89
District of Columbia,2019,16,X,X
Florida,2019,16,X,X
New York,2019,16,2948,9.53
Texas,2019,16,1626,9.66
New York City,2019,16,X,X
California,2019,17,729,3.43
District of Columbia,2019,17,X,X
Florida,2019,17,X,X
New York,2019,17,2449,5.55
Texas,2019,17,1630,6.75
New York City,2019,17,X,X
California,2019,18,644,4.04
District of Columbia,2019,18,X,X
Florida,2019,18,X,X
New York,2019,18,1681,2.32
Texas,2019,18,1420,7.25
New York City,2019,18,X,X
California,2019,19,600,3
District of Columbia,2019,19,X,X
Florida,2019,19,X,X
New York,2019,19,1218,2.46
Texas,2019,19,1273,7.07
New York City,2019,19,X,X
California,2019,20,510,1.18
District of Columbia,2019,20,X,X
Florida,2019,20,X,X
New York,2019,20,1451,1.59
Texas,2019,20,1192,5.03
New York City,2019,20,X,X
California,2019,21,516,1.74
District of Columbia,2019,21,X,X
Florida,2019,21,X,X
New York,2019,21,1334,1.42
Texas,2019,21,1153,5.64
New York City,2019,21,X,X
California,2019,22,456,1.32
District of Columbia,2019,22,X,X
Florida,2019,22,X,X
New York,2019,22,1322,1.66
Texas,2019,22,1062,3.58
New York City,2019,22,X,X
California,2019,23,411,2.68
District of Columbia,2019,23,X,X
Florida,2019,23,X,X
New York,2019,23,1145,0.52
Texas,2019,23,878,3.99
New York City,2019,23,X,X
California,2019,24,348,1.15
District of Columbia,2019,24,X,X
Florida,2019,24,X,X
New York,2019,24,1081,0.65
Texas,2019,24,833,1.68
New York City,2019,24,X,X
California,2019,25,308,0.32
District of Columbia,2019,25,X,X
Florida,2019,25,X,X
New York,2019,25,1130,0.53
Texas,2019,25,809,1.61
New York City,2019,25,X,X
California,2019,26,269,0.74
District of Columbia,2019,26,X,X
Florida,2019,26,X,X
New York,2019,26,964,0.1
Texas,2019,26,718,2.79
New York City,2019,26,X,X
California,2019,27,287,2.09
District of Columbia,2019,27,X,X
Florida,2019,27,X,X
New York,2019,27,839,0.24
Texas,2019,27,600,1.67
New York City,2019,27,X,X
California,2019,28,300,1.33
District of Columbia,2019,28,X,X
Florida,2019,28,X,X
New York,2019,28,875,0.23
Texas,2019,28,641,1.56
New York City,2019,28,X,X
California,2019,29,269,1.12
District of Columbia,2019,29,X,X
Florida,2019,29,X,X
New York,2019,29,861,0.58
Texas,2019,29,599,2.67
New York City,2019,29,X,X
California,2019,30,266,0.75
District of Columbia,2019,30,X,X
Florida,2019,30,X,X
New York,2019,30,740,0.41
Texas,2019,30,617,2.59
New York City,2019,30,X,X
California,2019,31,278,0.36
District of Columbia,2019,31,X,X
Florida,2019,31,X,X
New York,2019,31,759,0.4
Texas,2019,31,611,1.96
New York City,2019,31,X,X
California,2019,32,248,1.61
District of Columbia,2019,32,X,X
Florida,2019,32,X,X
New York,2019,32,804,0.5
Texas,2019,32,576,0.87
New York City,2019,32,X,X
California,2019,33,303,1.98
District of Columbia,2019,33,X,X
Florida,2019,33,X,X
New York,2019,33,849,0.12
Texas,2019,33,597,1.17
New York City,2019,33,X,X
California,2019,34,270,1.48
District of Columbia,2019,34,X,X
Florida,2019,34,X,X
New York,2019,34,745,1.07
Texas,2019,34,719,1.39
New York City,2019,34,X,X
California,2019,35,423,1.89
District of Columbia,2019,35,X,X
Florida,2019,35,X,X
New York,2019,35,853,0.59
Texas,2019,35,867,0.92
New York City,2019,35,X,X
California,2019,36,390,1.54
District of Columbia,2019,36,X,X
Florida,2019,36,X,X
New York,2019,36,861,0.93
Texas,2019,36,1090,1.74
New York City,2019,36,X,X
California,2019,37,441,0.91
District of Columbia,2019,37,X,X
Florida,2019,37,X,X
New York,2019,37,1047,0.86
Texas,2019,37,1177,1.27
New York City,2019,37,X,X
California,2019,38,471,1.49
District of Columbia,2019,38,X,X
Florida,2019,38,X,X
New York,2019,38,1231,0.89
Texas,2019,38,1188,2.27
New York City,2019,38,X,X
California,2019,39,520,1.35
District of Columbia,2019,39,X,X
Florida,2019,39,X,X
New York,2019,39,1372,0.8
Texas,2019,39,1259,2.54
New York City,2019,39,X,X
California,2019,40,1776,1.58
District of Columbia,2019,40,X,X
Florida,2019,40,X,X
New York,2019,40,1354,0.3
Texas,2019,40,1720,3.08
New York City,2019,40,X,X
California,2019,41,1887,1.96
District of Columbia,2019,41,X,X
Florida,2019,41,X,X
New York,2019,41,1479,0.68
Texas,2019,41,2065,3.1
New York City,2019,41,X,X
California,2019,42,1995,2.06
District of Columbia,2019,42,X,X
Florida,2019,42,X,X
New York,2019,42,1559,0.38
Texas,2019,42,2179,3.76
New York City,2019,42,X,X
California,2019,43,1964,2.9
District of Columbia,2019,43,X,X
Florida,2019,43,X,X
New York,2019,43,1660,0.84
Texas,2019,43,2553,5.72
New York City,2019,43,X,X
California,2019,44,2061,4.85
District of Columbia,2019,44,X,X
Florida,2019,44,X,X
New York,2019,44,1684,1.19
Texas,2019,44,2482,11.44
New York City,2019,44,X,X
California,2019,45,2603,9.99
District of Columbia,2019,45,X,X
Florida,2019,45,X,X
New York,2019,45,1933,1.5
Texas,2019,45,3435,16.74
New York City,2019,45,X,X
California,2019,46,2887,12.92
District of Columbia,2019,46,X,X
Florida,2019,46,X,X
New York,2019,46,1858,2.21
Texas,2019,46,3956,17.14
New York City,2019,46,X,X
California,2019,47,3091,13.94
District of Columbia,2019,47,X,X
Florida,2019,47,X,X
New York,2019,47,2018,3.27
Texas,2019,47,5252,22.56
New York City,2019,47,X,X
California,2019,48,2819,16.57
District of Columbia,2019,48,X,X
Florida,2019,48,X,X
New York,2019,48,2021,5.54
Texas,2019,48,4329,22.06
New York City,2019,48,X,X
California,2019,49,3460,17.98
District of Columbia,2019,49,X,X
Florida,2019,49,X,X
New York,2019,49,2335,7.19
Texas,2019,49,5098,20.58
New York City,2019,49,X,X
California,2019,50,3739,20.46
District of Columbia,2019,50,X,X
Florida,2019,50,X,X
New York,2019,50,2533,12.59
Texas,2019,50,4347,25.19
New York City,2019,50,X,X
California,2019,51,3885,30.6
District of Columbia,2019,51,X,X
Florida,2019,51,X,X
New York,2019,51,2947,14.42
Texas,2019,51,6092,33.54
New York City,2019,51,X,X
California,2019,52,4042,25.41
District of Columbia,2019,52,X,X
Florida,2019,52,X,X
New York,2019,52,3022,23.69
Texas,2019,52,6321,39.57
New York City,2019,52,X,X
California,2020,1,4396,26.98
District of Columbia,2020,1,X,X
Florida,2020,1,X,X
New York,2020,1,3795,22.53
Texas,2020,1,5499,31.35
New York City,2020,1,X,X
California,2020,2,4833,27.68
District of Columbia,2020,2,X,X
Florida,2020,2,X,X
New York,2020,2,3828,21.97
Texas,2020,2,5077,30.77
New York City,2020,2,X,X
California,2020,3,5378,31.78
District of Columbia,2020,3,X,X
Florida,2020,3,X,X
New York,2020,3,3805,23.84
Texas,2020,3,5291,34.02
New York City,2020,3,X,X
California,2020,4,5835,32.46
District of Columbia,2020,4,X,X
Florida,2020,4,X,X
New York,2020,4,3789,26.05
Texas,2020,4,5686,32.22
New York City,2020,4,X,X
California,2020,5,6118,30.75
District of Columbia,2020,5,X,X
Florida,2020,5,X,X
New York,2020,5,4085,27.37
Texas,2020,5,7032,34.53
New York City,2020,5,X,X
California,2020,6,5778,27.85
District of Columbia,2020,6,X,X
Florida,2020,6,X,X
New York,2020,6,3909,29.11
Texas,2020,6,6196,29.03
New York City,2020,6,X,X
California,2020,7,5626,29.11
District of Columbia,2020,7,X,X
Florida,2020,7,X,X
New York,2020,7,3903,26.18
Texas,2020,7,5689,29.16
New York City,2020,7,X,X
California,2020,8,4833,27.52
District of Columbia,2020,8,X,X
Florida,2020,8,X,X
New York,2020,8,3441,23.1
Texas,2020,8,6029,26.47
New York City,2020,8,X,X
California,2020,9,5115,24.52
District of Columbia,2020,9,X,X
Florida,2020,9,X,X
New York,2020,9,3692,22.4
Texas,2020,9,4992,23.1
New York City,2020,9,X,X
California,2020,10,5099,20.06
District of Columbia,2020,10,X,X
Florida,2020,10,X,X
New York,2020,10,3587,16.25
Texas,2020,10,5379,20.12
New York City,2020,10,X,X
California,2020,11,5073,9.95
District of Columbia,2020,11,X,X
Florida,2020,11,X,X
New York,2020,11,3604,13.24
Texas,2020,11,5205,12.56
